n,branch_policy,lower_bound,incumbent_heuristic,num_runs,avg_runtime,avg_nodes_explored,avg_pruned_states,avg_pruning_rate,proof_rate,time_limit_rate,avg_incumbent_updates
8,greedy,mst,nn_2opt_fast,3,0.002592722109208504,549.0,398.0,0.7252587412026532,1.0,0.0,2.0
8,learned,mst,nn_2opt_fast,3,0.019066666718572378,523.0,381.6666666666667,0.7341273775609799,1.0,0.0,1.3333333333333333
8,lexicographic,mst,nn_2opt_fast,3,0.002485069135824839,601.6666666666666,433.3333333333333,0.7205562157855656,1.0,0.0,2.6666666666666665
8,nearest,mst,nn_2opt_fast,3,0.002292805506537358,523.0,381.6666666666667,0.7341273775609799,1.0,0.0,1.3333333333333333
8,random,mst,nn_2opt_fast,3,0.002636402534941832,593.6666666666666,426.6666666666667,0.7178902105346521,1.0,0.0,3.3333333333333335
10,greedy,mst,nn_2opt_fast,3,0.01149368037780126,2062.6666666666665,1604.3333333333333,0.7737919699615926,1.0,0.0,6.333333333333333
10,learned,mst,nn_2opt_fast,3,0.06745062473540504,2017.3333333333333,1574.0,0.7761711281585019,1.0,0.0,4.666666666666667
10,lexicographic,mst,nn_2opt_fast,3,0.01345880546917518,2561.3333333333335,1993.6666666666667,0.7767125609009461,1.0,0.0,10.0
10,nearest,mst,nn_2opt_fast,3,0.010322249804933866,1868.0,1471.3333333333333,0.7848903286035123,1.0,0.0,3.3333333333333335
10,random,mst,nn_2opt_fast,3,0.014542125320682922,2796.0,2165.0,0.7738518807437663,1.0,0.0,8.666666666666666
12,greedy,mst,nn_2opt_fast,3,0.03064701457818349,3837.6666666666665,3207.6666666666665,0.828221973971187,1.0,0.0,2.3333333333333335
12,learned,mst,nn_2opt_fast,3,0.12377124993751447,3725.6666666666665,3119.3333333333335,0.8290122867248494,1.0,0.0,2.6666666666666665
12,lexicographic,mst,nn_2opt_fast,3,0.03299904164547721,4260.666666666667,3564.3333333333335,0.8333414363705164,1.0,0.0,3.6666666666666665
12,nearest,mst,nn_2opt_fast,3,0.027001541883995134,3298.3333333333335,2783.6666666666665,0.8352404128893177,1.0,0.0,1.3333333333333333
12,random,mst,nn_2opt_fast,3,0.03370331972837448,4189.666666666667,3526.6666666666665,0.8395785046731703,1.0,0.0,4.333333333333333
